,lon,lat,depth,M0,strike,dip,rake,epi_time,slip,slip_velocity,stress
21,140.1253086918658,35.08108805559312,-20.886908691296505,7.7922e+18,290.0,25.0,143.0,30.3790863735052,162.0,52.0,2.650137741046832
22,139.99068166497938,35.12116387210819,-20.886908691296505,1.33237e+19,290.0,25.0,143.0,26.053364039558844,277.0,61.0,3.1088154269972454
23,139.85605463809296,35.16123968862327,-20.886908691296505,1.79894e+19,290.0,25.0,143.0,21.73067468400883,374.0,80.0,4.077134986225896
24,139.72142761120654,35.20131550513834,-20.886908691296505,2.7417e+19,290.0,25.0,143.0,17.413277182145304,570.0,124.0,6.319559228650138
25,139.58680058432012,35.24139132165342,-20.886908691296505,2.66955e+19,290.0,25.0,143.0,13.106402167558334,555.0,117.0,5.962809917355372
26,139.4521735574337,35.28146713816849,-20.886908691296505,9.9086e+18,290.0,25.0,143.0,8.825468196582484,206.0,71.0,3.618457300275482
27,139.31754653054725,35.321542954683565,-20.886908691296505,2.00577e+19,290.0,25.0,143.0,4.6427960923947085,417.0,110.0,5.606060606060606
28,139.18291950366083,35.36161877119864,-20.886908691296505,3.36219e+19,290.0,25.0,143.0,1.6666666666666654,699.0,128.0,6.523415977961433
29,139.0482924767744,35.40169458771371,-20.886908691296505,1.91438e+19,290.0,25.0,143.0,4.642796092394706,398.0,109.0,5.555096418732782
30,140.29409671143054,35.11777469668076,-25.113091308703495,9.62e+16,290.0,25.0,143.0,34.70670764500078,2.0,1.0,0.05096418732782369
31,140.15946968454412,35.15785051319583,-25.113091308703495,1.34199e+19,290.0,25.0,143.0,30.3790863735052,279.0,62.0,3.159779614325069
32,140.0248426576577,35.19792632971091,-25.113091308703495,4.3771e+18,290.0,25.0,143.0,26.053364039558844,91.0,30.0,1.5289256198347108
33,139.89021563077128,35.23800214622599,-25.113091308703495,1.44781e+19,290.0,25.0,143.0,21.73067468400883,301.0,63.0,3.2107438016528924
34,139.75558860388483,35.27807796274106,-25.113091308703495,2.53968e+19,290.0,25.0,143.0,17.413277182145304,528.0,102.0,5.198347107438017
35,139.6209615769984,35.318153779256136,-25.113091308703495,1.77008e+19,290.0,25.0,143.0,13.106402167558334,368.0,89.0,4.535812672176308
36,139.486334550112,35.358229595771206,-25.113091308703495,1.2987e+19,290.0,25.0,143.0,8.825468196582486,270.0,57.0,2.90495867768595
37,139.35170752322557,35.398305412286284,-25.113091308703495,2.36652e+19,290.0,25.0,143.0,4.642796092394706,492.0,101.0,5.147382920110193
38,139.21708049633915,35.438381228801354,-25.113091308703495,2.11159e+19,290.0,25.0,143.0,1.666666666666669,439.0,96.0,4.892561983471074
39,139.08245346945273,35.47845704531643,-25.113091308703495,5.1948e+18,290.0,25.0,143.0,4.642796092394707,108.0,27.0,1.3760330578512396
40,140.32825770410886,35.19453715428348,-29.339273926110494,0.0,290.0,25.0,143.0,35.025387617809145,0.0,0.0,0.0
